transaction_id,card,merchant,gender,job,category,city,state,zip,trans_hour,trans_minute,trans_second,trans_year,trans_month,trans_day,distance,age,amt,city_pop,is_fraud
txn_0002292,card_0280,merchant_076,F,job_19,entertainment,city_49,S10,87828,7,9,26,2025,4,30,26.258,69.0,91.73,30512.0,0
txn_0007862,card_0803,merchant_006,M,job_06,shopping_net,city_33,S03,94333,16,57,33,2025,5,21,51.165,22.0,209.89,19321.0,0
txn_0004932,card_0528,merchant_157,M,job_08,health_fitness,city_01,S11,59300,11,53,26,2025,9,7,3.004,70.0,71.66,83029.0,0
txn_0002466,card_0260,merchant_184,M,job_18,gas_transport,city_53,S13,58934,23,58,7,2025,3,31,18.993,26.0,64.77,23019.0,0
txn_0007711,card_0794,merchant_159,F,job_05,grocery_pos,city_18,S13,55794,23,1,20,2025,2,10,10.989,37.0,57.75,45592.0,0
txn_0001788,card_0285,merchant_069,M,job_09,shopping_pos,city_39,S09,47253,16,40,43,2025,5,26,23.024,42.0,349.79,37277.0,0
txn_0005913,card_0771,merchant_132,M,job_18,misc_net,city_55,S11,25297,18,47,6,2025,11,29,42.116,43.0,157.39,8722.0,0
txn_0003388,card_0664,merchant_217,M,job_17,personal_care,city_27,S02,63954,10,28,5,2025,12,27,25.529,29.0,39.13,22810.0,0
txn_0005860,card_0844,merchant_098,F,job_06,grocery_pos,city_27,S00,76367,13,9,6,2025,9,14,7.596,47.0,114.55,83872.0,0
txn_0000158,card_0583,merchant_194,F,job_03,health_fitness,city_23,S01,86735,17,35,11,2025,9,26,12.193,59.0,57.84,15548.0,0
txn_0007825,card_0044,merchant_095,F,job_04,food_dining,city_44,S02,96307,8,28,50,2025,4,17,2.481,51.0,23.04,16354.0,0
txn_0004903,card_0220,merchant_136,F,job_00,personal_care,city_18,S04,21355,3,31,18,2025,1,7,6.056,18.0,48.38,4884.0,0
txn_0002867,card_0876,merchant_136,M,job_10,personal_care,city_57,S09,94482,21,16,24,2025,8,25,32.135,44.0,74.4,33280.0,0
txn_0000971,card_0799,merchant_006,F,job_30,shopping_net,city_23,S06,69662,14,31,22,2025,2,23,42.565,39.0,59.31,33559.0,0
txn_0005275,card_0774,merchant_093,M,job_22,personal_care,city_46,S04,37299,13,43,33,2025,1,8,66.142,46.0,17.88,6777.0,0
txn_0007932,card_0155,merchant_136,M,job_31,personal_care,city_24,S01,38876,19,6,37,2025,3,28,5.527,18.0,43.83,34269.0,0
txn_0007096,card_0112,merchant_155,M,job_07,shopping_pos,city_00,S02,82629,0,44,18,2025,10,22,38.917,63.0,89.11,49225.0,0
txn_0001442,card_0397,merchant_131,F,job_21,grocery_pos,city_51,S04,86112,14,54,24,2025,4,7,9.011,48.0,40.25,71633.0,0
txn_0002489,card_0344,merchant_063,M,job_28,shopping_net,city_21,S02,21738,17,42,38,2025,10,1,36.61,43.0,8.7,73571.0,0
txn_0000570,card_0250,merchant_173,F,job_11,misc_net,city_10,S00,76040,20,28,10,2025,2,18,18.193,37.0,73.9,25976.0,0
txn_0003857,card_0632,merchant_002,F,job_29,food_dining,city_09,S03,64461,18,34,14,2025,3,3,12.251,58.0,33.04,418861.0,0
txn_0003457,card_0127,merchant_063,M,job_08,shopping_net,city_07,S14,57409,13,25,35,2025,4,20,16.579,65.0,705.41,22863.0,0
txn_0000448,card_0818,merchant_146,M,job_13,grocery_pos,city_39,S10,74158,20,6,38,2025,12,4,32.729,49.0,67.55,30375.0,0
txn_0001142,card_0532,merchant_104,F,job_05,shopping_net,city_16,S10,75729,8,24,54,2025,5,2,5.424,68.0,255.86,12673.0,0
txn_0005083,card_0751,merchant_193,F,job_00,travel,city_19,S00,60920,17,30,40,2025,3,31,30.766,55.0,252.75,11591.0,0
txn_0001793,card_0465,merchant_216,M,job_00,entertainment,city_05,S06,41034,6,16,10,2025,11,8,21.079,46.0,46.39,130170.0,0
txn_0002931,card_0237,merchant_001,F,job_11,travel,city_02,S10,63947,14,33,1,2025,8,7,5.955,48.0,178.57,39656.0,0
txn_0006137,card_0892,merchant_049,M,job_11,gas_transport,city_54,S14,72684,9,58,8,2025,1,11,9.109,57.0,35.0,17945.0,0
txn_0006238,card_0435,merchant_165,F,job_31,shopping_net,city_47,S00,12883,6,56,29,2025,5,26,23.143,61.0,65.95,6401.0,0
txn_0003977,card_0235,merchant_126,M,job_01,personal_care,city_50,S03,75232,14,30,19,2025,12,9,33.645,31.0,45.67,18373.0,0
txn_0003118,card_0852,merchant_048,M,job_20,food_dining,city_59,S14,52986,12,32,15,2025,12,31,5.827,31.0,76.59,22784.0,0
txn_0005848,card_0708,merchant_074,F,job_07,health_fitness,city_24,S09,82255,11,52,25,2025,9,14,21.48,27.0,72.68,22052.0,0
txn_0006661,card_0063,merchant_145,M,job_06,health_fitness,city_22,S00,96597,22,46,41,2025,7,25,90.476,41.0,446.11,47888.0,0
txn_0005041,card_0374,merchant_196,M,job_24,shopping_pos,city_13,S08,18552,23,56,42,2025,7,24,30.792,43.0,78.09,6574.0,0
txn_0000848,card_0830,merchant_124,F,job_24,misc_net,city_56,S05,92885,8,1,43,2025,6,5,23.664,43.0,94.62,8465.0,0
txn_0001542,card_0070,merchant_129,M,job_09,travel,city_02,S09,22964,11,16,26,2025,6,19,32.859,50.0,468.61,70559.0,0
txn_0006645,card_0294,merchant_070,M,job_16,misc_net,city_09,S11,64772,17,57,21,2025,8,31,6.703,59.0,128.0,43642.0,0
txn_0001506,card_0571,merchant_066,F,job_22,shopping_pos,city_49,S06,33712,22,35,7,2025,1,21,8.62,52.0,58.06,41221.0,0
txn_0006335,card_0080,merchant_215,M,job_18,entertainment,city_23,S04,73851,17,1,51,2025,9,8,8.996,61.0,191.42,9072.0,0
txn_0003349,card_0758,merchant_066,F,job_26,shopping_pos,city_01,S12,70252,11,49,14,2025,7,21,11.319,47.0,151.6,16185.0,0
txn_0004601,card_0357,merchant_102,M,job_17,shopping_pos,city_37,S02,76072,16,31,55,2025,4,14,26.878,56.0,79.41,9479.0,0
txn_0002278,card_0529,merchant_072,M,job_25,entertainment,city_08,S12,48128,1,31,9,2025,10,21,48.035,26.0,143.36,45743.0,0
txn_0002312,card_0184,merchant_112,F,job_06,personal_care,city_38,S05,98619,6,38,31,2025,1,10,3.311,54.0,79.2,11608.0,0
txn_0004190,card_0062,merchant_063,F,job_26,shopping_net,city_50,S05,97129,15,18,6,2025,12,28,26.04,46.0,207.64,42395.0,0
txn_0006190,card_0604,merchant_114,M,job_19,travel,city_23,S01,36700,0,52,6,2025,12,4,42.294,32.0,254.99,41042.0,0
txn_0001138,card_0085,merchant_070,M,job_20,misc_net,city_10,S01,23885,20,49,39,2025,1,16,15.84,49.0,209.43,6198.0,0
txn_0004471,card_0810,merchant_060,F,job_10,entertainment,city_58,S14,20854,18,20,52,2025,1,16,13.067,77.0,42.28,94145.0,0
txn_0002013,card_0453,merchant_196,F,job_29,shopping_pos,city_30,S11,82926,6,23,2,2025,1,9,10.204,32.0,73.28,4429.0,0
txn_0007996,card_0416,merchant_067,M,job_22,health_fitness,city_27,S09,34368,12,2,26,2025,2,14,10.14,44.0,161.33,38043.0,0
txn_0004714,card_0522,merchant_003,F,job_18,health_fitness,city_20,S11,98681,9,53,56,2025,6,28,5.338,20.0,159.3,10063.0,0
txn_0005676,card_0217,merchant_207,F,job_18,food_dining,city_43,S14,82246,6,0,29,2025,9,13,667.07,35.0,871.15,12457.0,0
txn_0002541,card_0306,merchant_171,F,job_16,food_dining,city_45,S08,74371,17,15,54,2025,8,3,24.955,65.0,43.19,49497.0,0
txn_0006588,card_0492,merchant_026,M,job_31,shopping_pos,city_14,S10,42980,21,15,57,2025,12,15,47.712,43.0,62.99,147413.0,0
txn_0003139,card_0334,merchant_164,F,job_20,shopping_pos,city_26,S01,26507,18,38,49,2025,11,20,19.088,42.0,233.12,6773.0,0
txn_0001101,card_0500,merchant_109,F,job_27,health_fitness,city_16,S13,18268,19,19,50,2025,11,1,3.726,56.0,133.87,64103.0,0
txn_0004480,card_0442,merchant_130,F,job_03,personal_care,city_27,S06,78374,23,0,55,2025,9,26,5.177,30.0,26.71,20868.0,0
txn_0006888,card_0663,merchant_022,F,job_29,grocery_pos,city_35,S12,78097,0,36,21,2025,12,25,21.12,87.0,11.97,43929.0,0
txn_0006572,card_0692,merchant_171,M,job_12,food_dining,city_55,S11,54353,6,57,23,2025,9,16,12.426,43.0,106.76,16734.0,0
txn_0001844,card_0183,merchant_101,M,job_17,health_fitness,city_45,S00,78339,11,9,2,2025,8,24,66.171,37.0,137.69,89726.0,0
txn_0003904,card_0096,merchant_059,F,job_16,travel,city_34,S13,37725,12,17,59,2025,1,15,13.897,80.0,1269.9,6622.0,0
txn_0000600,card_0114,merchant_005,M,job_16,shopping_pos,city_19,S02,75298,1,9,7,2025,12,8,43.71,51.0,209.21,67304.0,0
txn_0004853,card_0527,merchant_190,F,job_28,shopping_pos,city_10,S05,18163,23,37,7,2025,6,3,38.618,42.0,107.04,9642.0,0
txn_0007431,card_0664,merchant_072,M,job_17,entertainment,city_27,S02,63954,13,51,57,2025,12,7,3.071,29.0,176.19,22810.0,0
txn_0000686,card_0708,merchant_009,F,job_07,grocery_pos,city_24,S09,82255,11,46,31,2025,11,16,21.619,27.0,68.88,22052.0,0
txn_0004352,card_0238,merchant_113,F,job_23,grocery_pos,city_59,S13,96370,18,23,48,2025,1,22,21.804,58.0,81.19,8275.0,0
txn_0001318,card_0024,merchant_150,M,job_07,gas_transport,city_46,S11,84924,4,9,14,2025,9,23,51.214,29.0,93.32,31028.0,0
txn_0002022,card_0486,merchant_102,F,job_17,shopping_pos,city_54,S11,34256,8,40,55,2025,4,20,19.802,19.0,110.81,8746.0,0
